sp1.sp2.sp3,(13.3713429399611-0.0666037766741627),(16.3889083118966-0.182111004542688),(7.02283761390542-0.00802525022621337),(20.5401685810634-0.726595428113517),(22.627634305938-1.45708298717195),(25.3619352292819-3.62505737634018),(23.839544285149-2.18235906779057),(20.5060804516167-0.718386055958722),(19.3826262217045-0.493993521785751),(21.4114664345872-0.971462276980162),(17.8258665570551-0.29400667703462),(13.5437256942701-0.0705429831169754),(8.06486570202372-0.011358149995504),(22.1138329061896-1.22773291903613),(23.1051464523417-1.70848532273629),(22.7292394028821-1.5072771541187),(18.8466135992032-0.413166857833553),(17.6961599440482-0.281566025712637),(12.8405436161717-0.0558030303260091),(23.6883635577801-2.07510736672549),(17.166959873498-0.236031896230491),(13.189628993919-0.0626892496748603),(22.2818784261278-1.29846725194163),(18.1508021047996-0.327639648771611),(17.3608685371009-0.251791953805385),(23.4515336269279-1.91759064677155),(19.8424296251731-0.575817173860471),(19.3808070863005-0.493694065578509),(23.1791647478182-1.75116263699598),(20.8452733669388-0.804379710190808),(21.9117871003037-1.14776976182019),(12.8605138863406-0.0561757364843444),(20.9640055211151-0.836853305323984),(18.1717515289935-0.329935595724246),(16.0610212988818-0.163256195410701),(20.2005328867922-0.648821716623609),(16.1294787662998-0.167024401143369),(21.2443803702418-0.918835499832463),(20.0780450230446-0.622864267112225),(14.6586762211106-0.102296187213561),(17.2237270411384-0.24054070755703),(11.0360324515825-0.0305793353501934),(20.9397119993416-0.83010396915549),(17.3413840796486-0.250161909861488),(14.4662069529975-0.0959393299928353),(20.1591574975407-0.639934721391069),(20.9453715870782-0.831671481085224),(19.5762499892302-0.526927864268614),(15.6402366595755-0.141891002145904),(22.3722032384478-1.33815636131103)
sp1.sp2.sp3.sp4,(28.8092067752566-1.45113196644757),(30.0488321584001-1.97832438831587),(25.1370187407372-0.579434244251768),(25.799530682398-0.683810018117753),(16.6310946737364-0.0691011342679997),(28.6209948469165-1.38443337083119),(23.5344545111697-0.388157468931323),(26.6176032375568-0.838989554501487),(28.2221081540595-1.25303576751488),(17.8632978246884-0.0940307581576607),(20.9030880950135-0.201053194576903),(29.4556132209592-1.70564870565736),(28.4991680624923-1.34290372590432),(25.8033613613779-0.684465232329974),(23.4944506768635-0.384294869185065),(24.9696084929871-0.555683888288044),(19.5543092910421-0.143505706473588),(16.4129912432507-0.0654342168587312),(28.8438805502641-1.46376570074682),(23.458051454097-0.380813716149878),(24.4689617618921-0.490310035212117),(26.2315401367945-0.761798823242196),(25.510040155814-0.636069313959384),(25.6474765570435-0.658303833126203),(23.5026623245224-0.385084603079425),(16.7458621039514-0.0711124909570024),(27.613350683144-1.07613927608366),(21.5769258691797-0.237942477450493),(18.3579801593878-0.106409251551335),(30.2186945152873-2.06414442405925),(27.2125085114739-0.973526080898213),(26.9113145179035-0.902912915151936),(24.625582135991-0.509888983950292),(24.7708431990459-0.52874606624469),(22.7363375766737-0.317946093000575),(27.97309006467-1.17740716068498),(18.8602937838173-0.120647236500148),(24.6709538501146-0.515705551742809),(21.8432485172079-0.254324150399651),(26.2414969041145-0.763697441977943),(22.9830735993357-0.338175798174146),(28.0531620258944-1.20121396127898),(9.73127410891355-0.0123125123386389),(24.0241885170276-0.438712641279949),(22.7740273457064-0.32095609427236),(29.9988044017881-1.95373575481378),(14.4605725943927-0.0401627771845235),(25.6675907810638-0.661622521122212),(22.4669927470783-0.29724172213776),(25.0829592009569-0.571655915261293)
sp1.sp2.sp3.sp4.sp5,(32.4389675142099-0.872375725833512),(29.31552775301-0.46709482853624),(30.6556306301948-0.610667657721367),(34.5328279694223-1.32609304554834),(35.6719175769635-1.66538269604465),(30.2214630727065-0.559878246684318),(29.0824172445121-0.445817731829099),(30.9562335989217-0.648507407980198),(31.370296957265-0.704498454851762),(33.8326510554822-1.15280909411147),(36.0986949905998-1.8137751913427),(29.5055303088749-0.485186241910568),(36.7423281764732-2.06295018698172),(28.8295784391267-0.423834239006285),(31.1845178635794-0.678802564618355),(30.562142171283-0.599355665821634),(31.4094812531729-0.710041176030619),(23.4590874874474-0.144784181147565),(21.9867035462414-0.107852809632513),(34.9838199662932-1.45126482584556),(25.0588110625483-0.199375291385222),(29.1316091561813-0.450225488719126),(30.7676279570229-0.62450061803039),(34.1226818040916-1.22165659640745),(28.6622017361651-0.409881093762127),(28.862037564748-0.426594647394944),(33.8765892881792-1.16298419636099),(32.8011428006809-0.937911202878162),(35.0933304691909-1.48340121777741),(31.3484016988877-0.701420139750068),(37.1893078411166-2.25586385879736),(38.1980861026284-2.76016021838862),(36.7858030553051-2.08096575166332),(16.3861744693984-0.0351864705264888),(32.1872339552461-0.829541807633592),(29.2722907091436-0.463073067360948),(33.565626723851-1.09285854056552),(34.5742761366475-1.33713153543786),(31.1598037482467-0.675455656987607),(29.5042839016341-0.485065309072327),(32.1337596595345-0.820717238023113),(29.462935190925-0.481070469896957),(32.0492469935957-0.806961632681526),(27.6983520906838-0.338017323121536),(32.5927140806889-0.899617387962856),(36.8084199526365-2.09040005417523),(30.890548644844-0.640043709261301),(36.8356654043076-2.10182194981413),(17.0339011630138-0.0400531355823412),(34.0949569141532-1.21490125753513)
sp1.sp2.sp3.sp4.sp5.sp6,(37.6439532238806-0.812111963586454),(42.2346675193169-1.74543181359539),(40.327006821321-1.2700528455979),(42.304693200845-1.76592204121926),(39.8592675364517-1.17480475893096),(40.0648313830609-1.21575176172001),(38.493590447309-0.935652779631823),(34.7422870878273-0.500710059985634),(35.1879507171111-0.539317524831624),(33.8299797465365-0.430082044425035),(41.537831025637-1.55404708169913),(37.957791151715-0.855721129386155),(38.4011516005502-0.921348125523118),(41.2253430300828-1.47518181688523),(35.4060362752841-0.559281010241232),(40.2629301346939-1.25656155470159),(35.6608452274879-0.583544227350275),(37.224185347515-0.75723745264286),(38.3279457178742-0.910175063852172),(29.1281803619807-0.196437195960462),(34.7449946868674-0.500936049336842),(40.7537277844603-1.36366881807276),(40.6853202902024-1.34820958322613),(40.601531024365-1.32951286514534),(39.2359719569819-1.05888808518566),(40.1707671960858-1.23740764179528),(32.5131862221334-0.345333413519793),(34.4582598054529-0.477559773727241),(36.8403945187526-0.710317273359944),(36.268152560669-0.645702008414029),(38.1473096332572-0.883181694498273),(36.4914888703975-0.670189706938034),(32.8672875004204-0.366327326037395),(43.9015993303773-2.30440827814845),(40.3005675181897-1.26446864693202),(41.3300400505106-1.50114885827016),(37.6228986557689-0.809267173390908),(30.9438485108256-0.265855818955805),(37.4974210407175-0.792518751944129),(37.6286960064738-0.810049470253758),(38.2832519457695-0.903420381959528),(37.3472146421582-0.772924822360079),(39.3559512631184-1.08027530818),(33.7512717507538-0.424477079008801),(32.3257132868343-0.334710131055453),(41.4060671376087-1.52029124607365),(45.5384024844774-3.02715866507165),(35.2353197749847-0.543592188386458),(38.2984945682491-0.905718383014199),(29.9739388025252-0.226173520910469)
sp1.sp2.sp3.sp4.sp5.sp6.sp7,(37.9418256218484-0.385066672578296),(37.1617188523769-0.344458187328759),(34.6198648426529-0.239571209059192),(39.4477854977598-0.477494975964755),(36.5631032341261-0.316225698757147),(45.150194809146-1.07834583842527),(34.1601246049944-0.22434240929424),(40.3080395087638-0.539934101001757),(44.8787123336285-1.03732472526026),(45.6946412968159-1.16556542684485),(37.6922726204851-0.371580713837343),(45.1736527469474-1.0819656242883),(43.3827284942562-0.837723708239481),(44.3829216627256-0.966395444012612),(39.5843640464625-0.486902983268575),(39.3160497254642-0.468592853491099),(41.2102490658092-0.614208331503911),(41.7669586892118-0.665051220947053),(38.0051660128709-0.388566831467833),(35.036329219612-0.254257009426043),(40.2951162463407-0.538938181989826),(45.8911563452289-1.19875070886506),(45.8881182966927-1.19823054928554),(41.7436861664632-0.662843878310277),(46.1508808614761-1.24406392667621),(44.5940216052048-0.995983077156857),(43.2174793550113-0.818179146023011),(37.8466911122281-0.379868769803072),(44.7618110078667-1.02014509195805),(41.5718649968125-0.646771856821185),(44.0562574369728-0.922333388390334),(42.3303356446272-0.720789033225052),(38.5464790224662-0.419807211500878),(46.2382754264564-1.259693369975),(41.1128617060569-0.605722330640366),(43.7337773347731-0.880806666745623),(38.7013652705555-0.429199649918441),(43.0766256193834-0.801880310785202),(45.9814133462968-1.21430722579743),(35.8103521044024-0.283984676182572),(36.1156048760438-0.296642544224256),(38.0861979752766-0.39309100696343),(42.9645803914446-0.78914721418701),(38.0985041701308-0.393782679674854),(43.1916027066666-0.81516018355186),(43.7650267683989-0.884747593999072),(44.9089785369932-1.04181957810206),(40.4882493829863-0.55401477184488),(39.9204775674978-0.510852582271306),(38.2135018248131-0.400305265068694)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8,(49.9647701895638-0.958887350738929),(48.9540517579139-0.845082089405866),(49.2475126001029-0.876657473134558),(53.1147140576523-1.42156916062787),(52.2307430490407-1.27285814637199),(49.6632227894754-0.923416309512732),(45.289713465704-0.534531943913494),(51.5080758149505-1.16291698820635),(52.5247683113287-1.32051006689523),(50.9340605698864-1.08239871972133),(48.2393469215967-0.772858258076261),(51.5338753685868-1.16667335037852),(47.9007959056533-0.740834159826764),(47.2569711034767-0.683549255830185),(48.882345896638-0.837541267252365),(49.2874892299291-0.881049164966491),(47.4209328494713-0.69770329175153),(52.6322302146082-1.33836782798018),(47.7959296066013-0.731186462599602),(49.7580680602322-0.934429176722582),(39.4578996729556-0.257859483216409),(52.477485611228-1.31272842544321),(45.507758150094-0.549301307285046),(42.4938357292321-0.376872440728892),(54.655915460223-1.72359367176411),(48.8242615000982-0.831482279506585),(46.6817901038483-0.636128825611507),(42.6722546168682-0.385372006438387),(53.2454766458189-1.44499609244648),(43.9787309942643-0.453737438259129),(46.1395627430341-0.594441711358111),(59.1262373581118-3.01379975874334),(51.0512364077781-1.09836927627147),(51.3856197218718-1.14525174298663),(51.8536606932177-1.21425369192027),(39.826209490085-0.270008521963534),(48.1690033686322-0.76609234079426),(46.8334974586365-0.648307093018948),(40.3934440405242-0.289848331633513),(45.0233406071028-0.517026904466636),(52.4758795969077-1.31246491929363),(48.854204413067-0.834600256186784),(42.5803743876375-0.380971317278572),(49.0280927732109-0.852939726637686),(49.6556263675591-0.92253987045182),(47.2810714075311-0.685611588159454),(48.3214545850862-0.780831295830119),(47.9053098239281-0.741252278923448),(49.205326712967-0.872046830592464),(37.0711069564248-0.191342626061174)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9,(60.4687666635202-1.65781284830485),(54.562511385415-0.860061456012029),(47.0102569934197-0.37161727021363),(61.3805149176777-1.83455973559357),(54.1233735264939-0.81910379221941),(54.6500007965302-0.868462946707015),(52.8320858447249-0.7096233637732),(53.6506749693872-0.777192991224596),(55.740983140822-0.980384846166954),(48.716418089367-0.449186411629049),(58.9271735435265-1.39683796542125),(61.6606010944037-1.89255013203022),(60.2145505135864-1.61164101145789),(54.8271091429111-0.885722422330124),(58.4683708954008-1.32741441818859),(55.267307809931-0.930120888558769),(49.1559289994035-0.471666664573701),(57.3348839193861-1.17033493918193),(66.3511889981643-3.18706890618999),(54.2081749410588-0.826858135131386),(60.8502125911914-1.72958594915864),(57.5304035535591-1.19603794279374),(59.4421998092456-1.47910355089564),(57.8226644687665-1.23551489988496),(51.0209224190585-0.580270292444425),(53.1350635704024-0.73391892040877),(58.3881455893559-1.31563452884474),(51.5466761910828-0.615177658882576),(53.9244727054108-0.80120004473861),(47.7118663646544-0.401746421564869),(54.5195643558072-0.85596711217416),(61.4766114350839-1.85425302331637),(47.3474077567818-0.385802537409582),(57.9495568162729-1.25305800026977),(59.7927728544504-1.53785529968433),(52.487003609432-0.682929694730169),(53.6792338319341-0.77966310218443),(53.5949670166876-0.772397201495592),(54.8197757892025-0.885001039307241),(58.6603385771971-1.35603195730912),(38.9500606947687-0.15175800331339),(57.7632441308641-1.22738462777221),(38.0540087688672-0.137376560962169),(53.1679002955052-0.736601517005537),(56.7377461785926-1.09520475300372),(60.3457012230664-1.63529828081532),(53.1587865099197-0.735855996166959),(60.6292506436581-1.68763938401355),(53.2748442557428-0.745406506364841),(54.5547887220824-0.859323783276779)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10,(58.5523737795164-0.746939846543398),(58.0233473993809-0.708451784142642),(61.3364824082418-0.98672907356602),(58.5084669027288-0.74366745599912),(52.8852127684608-0.423802943506304),(64.0167461664907-1.29003144520611),(58.3651272039613-0.733083789602205),(64.789854175939-1.39372137118048),(56.707139301706-0.621080815142992),(59.6855107530074-0.836560090180573),(61.727073036733-1.02603236365777),(63.4596755088604-1.22013263355254),(61.6859390878583-1.02182055512228),(58.2878377711754-0.727439644262594),(60.8070197478497-0.935844416653374),(58.1430739397859-0.716984805399084),(56.5693711150742-0.612582961036786),(66.8944733166438-1.72019784158001),(62.9453967403266-1.15897000444849),(61.3149554284362-0.984607248178607),(58.5138562569468-0.744068359763487),(55.8004164841762-0.567243657378324),(65.3783412999879-1.47820150233693),(62.0266624529469-1.0572362912298),(59.0033895295553-0.781399244698687),(62.5975124724603-1.11934446814338),(63.5964357172569-1.23693377824958),(63.3475965621526-1.20653385495544),(59.6806136650964-0.836150496882318),(46.7959633431775-0.230521382924066),(56.4001471410867-0.602303807576335),(60.0345952510872-0.866278788702554),(56.8747663513975-0.631579564952353),(61.1650108418471-0.969953736252381),(57.2574725458864-0.656218955435495),(52.4247708096993-0.404731701962657),(61.0781778755684-0.961567808359906),(64.9144029460389-1.41118857754138),(57.9773405628453-0.705199921844875),(64.9318466410234-1.41365236011392),(64.243606505172-1.31963168007822),(67.6290836239372-1.85132270427924),(58.5150317884621-0.744155808421462),(65.1663141000029-1.44718952523573),(50.0945309796247-0.320601961072791),(51.7163564469381-0.377051930878556),(60.9786921186916-0.952049005858902),(63.240142187248-1.19363850913951),(58.7928862799565-0.765122458964862),(42.568301917356-0.151044949909807)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11,(73.4504429624107-1.80651376555236),(66.9310236879772-0.998725280175269),(70.185538778072-1.34257509062984),(65.4242823545237-0.870879167420227),(73.5373497446604-1.82084286809134),(63.5538849564049-0.734703560706172),(69.6673330052645-1.28079350876412),(70.5613136800325-1.38923166412941),(59.1419697719682-0.491953358942542),(71.9565636642977-1.57710626947276),(64.687441438135-0.814453779926542),(56.855110655303-0.399609432020147),(56.916969252702-0.401862962133014),(65.622759258721-0.886735354196758),(70.5664190994769-1.38987659657786),(73.3977624384343-1.79788282923252),(62.277723557031-0.65422574129472),(67.3123712102551-1.03395617205682),(72.0651663682398-1.59275411042453),(63.1886101286611-0.710707018326618),(64.5798647418598-0.80652748148471),(65.5187147674055-0.878387623821003),(71.4920220812296-1.511890209377),(63.4323306002598-0.72662948032748),(72.5780581155616-1.66877727414109),(66.4832068990712-0.958883020304471),(65.044538641317-0.841327551069861),(68.1506976537119-1.11583602341545),(62.3451135340745-0.658246036590704),(66.3582356320477-0.948050769363924),(53.6354919045846-0.298209136550666),(69.0688139827862-1.2129665377332),(60.3138037064234-0.547254686349207),(67.9850229612724-1.0991559754856),(70.692943351158-1.40595553641583),(62.2345962229323-0.651665741908752),(75.5151853224203-2.17951591401494),(58.7415233340261-0.474366252807721),(66.2953918797005-0.942649943930126),(58.8777340928857-0.48027675194079),(67.8180493648789-1.08259739660236),(54.3809577598417-0.319119173990337),(71.4731249240829-1.50929512747955),(69.3858469604145-1.24843426023346),(62.2750768531493-0.654068325404316),(58.0600723797115-0.445870978034287),(63.151913843511-0.708340032278819),(62.4842752316776-0.666626471920438),(68.9010607689374-1.19460880713807),(66.2529580621785-0.939020569208722)
